Entity,Year,GDP per capita
United Kingdom,1939,9982.0
United Kingdom,1940,10928.0
United Kingdom,1941,11926.0
United Kingdom,1942,12176.0
United Kingdom,1943,12344.0
United Kingdom,1944,11803.0
United Kingdom,1945,11247.0
United Kingdom,1946,10751.0
United Kingdom,1947,10527.0
United Kingdom,1948,10753.0
United Kingdom,1949,11088.0
United Kingdom,1950,11061.0
United Kingdom,1951,11354.0
United Kingdom,1952,11303.0
United Kingdom,1953,11709.0
United Kingdom,1954,12145.0
United Kingdom,1955,12541.0
United Kingdom,1956,12639.0
United Kingdom,1957,12779.0
United Kingdom,1958,12698.0
United Kingdom,1959,13134.0
United Kingdom,1960,13780.0
United States,1850,3631.82
United States,1851,3778.3784
United States,1852,3971.2185
United States,1853,4242.48
United States,1854,4254.0503
United States,1855,4161.4873
United States,1856,4247.6226
United States,1857,4156.3447
United States,1858,4176.9146
United States,1859,4288.7617
United States,1860,4401.8945
United States,1861,4311.9023
United States,1862,4446.8906
United States,1863,4733.579
United States,1864,4889.1367
United States,1865,4637.159
United States,1866,4599.877
United States,1867,4751.5776
United States,1868,4815.8574
United States,1869,4943.132
United States,1870,4803.0015
United States,1871,4918.7056
United States,1872,4991.985
United States,1873,5116.688
United States,1874,4964.9873
United States,1875,5105.1177
United States,1876,5049.837
United States,1877,5098.6895
United States,1878,5198.9663
United States,1879,5715.778
United States,1880,6255.7295
United States,1881,6317.4385
United States,1882,6557.8457
United States,1883,6559.1313
United States,1884,6523.1343
United States,1885,6424.143
United States,1886,6471.7104
United States,1887,6616.9834
United States,1888,6447.284
United States,1889,6705.6895
United States,1890,6664.5503
United States,1891,6811.109
United States,1892,7324.063
United States,1893,6834.2495
United States,1894,6510.2783
United States,1895,7159.5063
United States,1896,6885.674
United States,1897,7406.342
United States,1898,7426.911
United States,1899,7959.1494
United States,1900,8037.5713
United States,1901,8770.363
United States,1902,8684.228
United States,1903,8941.348
United States,1904,8663.658
United States,1905,9121.332
United States,1906,9980.113
United States,1907,9950.544
United States,1908,8975.976
United States,1909,9798.118
United States,1910,9636.783
United States,1911,9735.89
United States,1912,9976.567
United States,1913,10107.97
United States,1914,9096.372
United States,1915,9164.177
United States,1916,10222.32
United States,1917,9769.078
United States,1918,10471.306
United States,1919,10449.78
United States,1920,10152.927
United States,1921,9674.881
United States,1922,10009.715
United States,1923,11071.243
United States,1924,11126.713
United States,1925,11149.772
United States,1926,11647.768
United States,1927,11532.397
United States,1928,11451.069
United States,1929,11954.235
United States,1930,10694.982
United States,1931,9930.964
United States,1932,8380.504
United States,1933,8048.2246
United States,1934,8667.092
United States,1935,9680.839
United States,1936,10568.013
United States,1937,11295.099
United States,1938,10526.134
United States,1939,11171.448
United States,1940,12005.095
United States,1941,13553.401
United States,1942,14869.861
United States,1943,16050.218
United States,1944,16999.328
United States,1945,16477.553
United States,1946,14822.467
United States,1947,14311.547
United States,1948,14734.232
United States,1949,14196.672
United States,1950,15240.0
United States,1951,16125.0
United States,1952,16444.0
United States,1953,16917.0
United States,1954,16512.0
United States,1955,17370.0
United States,1956,17397.0
United States,1957,17406.0
United States,1958,16946.0
United States,1959,17900.0
United States,1960,18057.0
