year,month,price,date,country,region,commodity,dataset,grain_price,decade
1844,10,50.5,1844-10-01 00:00:00,US,Chicago,Wheat,chicago_wheat,50.5,1840
1844,11,50.5,1844-11-01 00:00:00,US,Chicago,Wheat,chicago_wheat,50.5,1840
1844,12,47.0,1844-12-01 00:00:00,US,Chicago,Wheat,chicago_wheat,47.0,1840
1845,1,57.5,1845-01-01 00:00:00,US,Chicago,Wheat,chicago_wheat,57.5,1840
1845,2,60.0,1845-02-01 00:00:00,US,Chicago,Wheat,chicago_wheat,60.0,1840
1845,3,67.5,1845-03-01 00:00:00,US,Chicago,Wheat,chicago_wheat,67.5,1840
1845,4,67.5,1845-04-01 00:00:00,US,Chicago,Wheat,chicago_wheat,67.5,1840
1845,5,67.0,1845-05-01 00:00:00,US,Chicago,Wheat,chicago_wheat,67.0,1840
1845,6,67.0,1845-06-01 00:00:00,US,Chicago,Wheat,chicago_wheat,67.0,1840
1845,7,62.5,1845-07-01 00:00:00,US,Chicago,Wheat,chicago_wheat,62.5,1840
1845,8,53.0,1845-08-01 00:00:00,US,Chicago,Wheat,chicago_wheat,53.0,1840
1845,9,57.5,1845-09-01 00:00:00,US,Chicago,Wheat,chicago_wheat,57.5,1840
1845,10,42.5,1845-10-01 00:00:00,US,Chicago,Wheat,chicago_wheat,42.5,1840
1845,11,51.5,1845-11-01 00:00:00,US,Chicago,Wheat,chicago_wheat,51.5,1840
1845,12,78.0,1845-12-01 00:00:00,US,Chicago,Wheat,chicago_wheat,78.0,1840
1846,1,65.0,1846-01-01 00:00:00,US,Chicago,Wheat,chicago_wheat,65.0,1840
1846,2,62.5,1846-02-01 00:00:00,US,Chicago,Wheat,chicago_wheat,62.5,1840
1846,3,64.0,1846-03-01 00:00:00,US,Chicago,Wheat,chicago_wheat,64.0,1840
1846,4,64.0,1846-04-01 00:00:00,US,Chicago,Wheat,chicago_wheat,64.0,1840
1846,5,52.5,1846-05-01 00:00:00,US,Chicago,Wheat,chicago_wheat,52.5,1840
1846,6,45.0,1846-06-01 00:00:00,US,Chicago,Wheat,chicago_wheat,45.0,1840
1846,7,40.0,1846-07-01 00:00:00,US,Chicago,Wheat,chicago_wheat,40.0,1840
1846,8,45.0,1846-08-01 00:00:00,US,Chicago,Wheat,chicago_wheat,45.0,1840
1846,9,51.0,1846-09-01 00:00:00,US,Chicago,Wheat,chicago_wheat,51.0,1840
1846,10,51.0,1846-10-01 00:00:00,US,Chicago,Wheat,chicago_wheat,51.0,1840
1846,11,42.5,1846-11-01 00:00:00,US,Chicago,Wheat,chicago_wheat,42.5,1840
1846,12,45.0,1846-12-01 00:00:00,US,Chicago,Wheat,chicago_wheat,45.0,1840
1847,1,52.5,1847-01-01 00:00:00,US,Chicago,Wheat,chicago_wheat,52.5,1840
1847,2,55.0,1847-02-01 00:00:00,US,Chicago,Wheat,chicago_wheat,55.0,1840
1847,3,60.0,1847-03-01 00:00:00,US,Chicago,Wheat,chicago_wheat,60.0,1840
1847,4,60.0,1847-04-01 00:00:00,US,Chicago,Wheat,chicago_wheat,60.0,1840
1847,5,67.5,1847-05-01 00:00:00,US,Chicago,Wheat,chicago_wheat,67.5,1840
1847,6,70.0,1847-06-01 00:00:00,US,Chicago,Wheat,chicago_wheat,70.0,1840
1847,7,57.5,1847-07-01 00:00:00,US,Chicago,Wheat,chicago_wheat,57.5,1840
1847,8,47.5,1847-08-01 00:00:00,US,Chicago,Wheat,chicago_wheat,47.5,1840
1847,9,65.0,1847-09-01 00:00:00,US,Chicago,Wheat,chicago_wheat,65.0,1840
1847,10,70.0,1847-10-01 00:00:00,US,Chicago,Wheat,chicago_wheat,70.0,1840
1847,11,60.0,1847-11-01 00:00:00,US,Chicago,Wheat,chicago_wheat,60.0,1840
1847,12,60.0,1847-12-01 00:00:00,US,Chicago,Wheat,chicago_wheat,60.0,1840
1848,1,65.0,1848-01-01 00:00:00,US,Chicago,Wheat,chicago_wheat,65.0,1840
1848,2,65.0,1848-02-01 00:00:00,US,Chicago,Wheat,chicago_wheat,65.0,1840
1848,3,75.0,1848-03-01 00:00:00,US,Chicago,Wheat,chicago_wheat,75.0,1840
1848,4,75.0,1848-04-01 00:00:00,US,Chicago,Wheat,chicago_wheat,75.0,1840
1848,5,82.5,1848-05-01 00:00:00,US,Chicago,Wheat,chicago_wheat,82.5,1840
1848,6,82.5,1848-06-01 00:00:00,US,Chicago,Wheat,chicago_wheat,82.5,1840
1848,7,67.5,1848-07-01 00:00:00,US,Chicago,Wheat,chicago_wheat,67.5,1840
1848,8,62.5,1848-08-01 00:00:00,US,Chicago,Wheat,chicago_wheat,62.5,1840
1848,9,81.0,1848-09-01 00:00:00,US,Chicago,Wheat,chicago_wheat,81.0,1840
1848,10,58.0,1848-10-01 00:00:00,US,Chicago,Wheat,chicago_wheat,58.0,1840
1848,11,55.0,1848-11-01 00:00:00,US,Chicago,Wheat,chicago_wheat,55.0,1840
1848,12,55.0,1848-12-01 00:00:00,US,Chicago,Wheat,chicago_wheat,55.0,1840
1849,1,59.5,1849-01-01 00:00:00,US,Chicago,Wheat,chicago_wheat,59.5,1840
1849,2,59.0,1849-02-01 00:00:00,US,Chicago,Wheat,chicago_wheat,59.0,1840
1849,3,57.5,1849-03-01 00:00:00,US,Chicago,Wheat,chicago_wheat,57.5,1840
1849,4,56.5,1849-04-01 00:00:00,US,Chicago,Wheat,chicago_wheat,56.5,1840
1849,5,55.0,1849-05-01 00:00:00,US,Chicago,Wheat,chicago_wheat,55.0,1840
1849,6,56.0,1849-06-01 00:00:00,US,Chicago,Wheat,chicago_wheat,56.0,1840
1849,7,60.0,1849-07-01 00:00:00,US,Chicago,Wheat,chicago_wheat,60.0,1840
1849,8,62.5,1849-08-01 00:00:00,US,Chicago,Wheat,chicago_wheat,62.5,1840
1849,9,62.5,1849-09-01 00:00:00,US,Chicago,Wheat,chicago_wheat,62.5,1840
1849,10,56.5,1849-10-01 00:00:00,US,Chicago,Wheat,chicago_wheat,56.5,1840
1849,11,52.5,1849-11-01 00:00:00,US,Chicago,Wheat,chicago_wheat,52.5,1840
1849,12,54.0,1849-12-01 00:00:00,US,Chicago,Wheat,chicago_wheat,54.0,1840
1850,1,60.0,1850-01-01 00:00:00,US,Chicago,Wheat,chicago_wheat,60.0,1850
1850,2,64.0,1850-02-01 00:00:00,US,Chicago,Wheat,chicago_wheat,64.0,1850
1850,3,65.0,1850-03-01 00:00:00,US,Chicago,Wheat,chicago_wheat,65.0,1850
1850,4,72.5,1850-04-01 00:00:00,US,Chicago,Wheat,chicago_wheat,72.5,1850
1850,5,89.0,1850-05-01 00:00:00,US,Chicago,Wheat,chicago_wheat,89.0,1850
1850,6,90.0,1850-06-01 00:00:00,US,Chicago,Wheat,chicago_wheat,90.0,1850
1850,7,76.0,1850-07-01 00:00:00,US,Chicago,Wheat,chicago_wheat,76.0,1850
1850,8,57.5,1850-08-01 00:00:00,US,Chicago,Wheat,chicago_wheat,57.5,1850
1850,9,57.5,1850-09-01 00:00:00,US,Chicago,Wheat,chicago_wheat,57.5,1850
1850,10,46.0,1850-10-01 00:00:00,US,Chicago,Wheat,chicago_wheat,46.0,1850
1850,11,47.5,1850-11-01 00:00:00,US,Chicago,Wheat,chicago_wheat,47.5,1850
1850,12,50.0,1850-12-01 00:00:00,US,Chicago,Wheat,chicago_wheat,50.0,1850
1851,1,55.0,1851-01-01 00:00:00,US,Chicago,Wheat,chicago_wheat,55.0,1850
1851,2,53.0,1851-02-01 00:00:00,US,Chicago,Wheat,chicago_wheat,53.0,1850
1851,3,53.0,1851-03-01 00:00:00,US,Chicago,Wheat,chicago_wheat,53.0,1850
1851,4,53.0,1851-04-01 00:00:00,US,Chicago,Wheat,chicago_wheat,53.0,1850
1851,5,49.0,1851-05-01 00:00:00,US,Chicago,Wheat,chicago_wheat,49.0,1850
1851,6,48.0,1851-06-01 00:00:00,US,Chicago,Wheat,chicago_wheat,48.0,1850
1851,7,43.5,1851-07-01 00:00:00,US,Chicago,Wheat,chicago_wheat,43.5,1850
1851,8,35.0,1851-08-01 00:00:00,US,Chicago,Wheat,chicago_wheat,35.0,1850
1851,9,43.0,1851-09-01 00:00:00,US,Chicago,Wheat,chicago_wheat,43.0,1850
1851,10,38.5,1851-10-01 00:00:00,US,Chicago,Wheat,chicago_wheat,38.5,1850
1851,11,35.0,1851-11-01 00:00:00,US,Chicago,Wheat,chicago_wheat,35.0,1850
1851,12,36.0,1851-12-01 00:00:00,US,Chicago,Wheat,chicago_wheat,36.0,1850
1852,1,38.0,1852-01-01 00:00:00,US,Chicago,Wheat,chicago_wheat,38.0,1850
1852,2,43.0,1852-02-01 00:00:00,US,Chicago,Wheat,chicago_wheat,43.0,1850
1852,3,39.5,1852-03-01 00:00:00,US,Chicago,Wheat,chicago_wheat,39.5,1850
1852,4,37.0,1852-04-01 00:00:00,US,Chicago,Wheat,chicago_wheat,37.0,1850
1852,5,34.0,1852-05-01 00:00:00,US,Chicago,Wheat,chicago_wheat,34.0,1850
1852,6,38.0,1852-06-01 00:00:00,US,Chicago,Wheat,chicago_wheat,38.0,1850
1852,7,37.5,1852-07-01 00:00:00,US,Chicago,Wheat,chicago_wheat,37.5,1850
1852,8,44.5,1852-08-01 00:00:00,US,Chicago,Wheat,chicago_wheat,44.5,1850
1852,9,52.0,1852-09-01 00:00:00,US,Chicago,Wheat,chicago_wheat,52.0,1850
1852,10,52.5,1852-10-01 00:00:00,US,Chicago,Wheat,chicago_wheat,52.5,1850
1852,11,60.0,1852-11-01 00:00:00,US,Chicago,Wheat,chicago_wheat,60.0,1850
1852,12,60.0,1852-12-01 00:00:00,US,Chicago,Wheat,chicago_wheat,60.0,1850
1853,1,69.0,1853-01-01 00:00:00,US,Chicago,Wheat,chicago_wheat,69.0,1850
1853,2,65.5,1853-02-01 00:00:00,US,Chicago,Wheat,chicago_wheat,65.5,1850
1853,3,59.0,1853-03-01 00:00:00,US,Chicago,Wheat,chicago_wheat,59.0,1850
1853,4,60.0,1853-04-01 00:00:00,US,Chicago,Wheat,chicago_wheat,60.0,1850
1853,5,65.5,1853-05-01 00:00:00,US,Chicago,Wheat,chicago_wheat,65.5,1850
1853,6,65.5,1853-06-01 00:00:00,US,Chicago,Wheat,chicago_wheat,65.5,1850
1853,7,68.5,1853-07-01 00:00:00,US,Chicago,Wheat,chicago_wheat,68.5,1850
1853,8,75.0,1853-08-01 00:00:00,US,Chicago,Wheat,chicago_wheat,75.0,1850
1853,9,81.5,1853-09-01 00:00:00,US,Chicago,Wheat,chicago_wheat,81.5,1850
1853,10,90.0,1853-10-01 00:00:00,US,Chicago,Wheat,chicago_wheat,90.0,1850
1853,11,93.5,1853-11-01 00:00:00,US,Chicago,Wheat,chicago_wheat,93.5,1850
1853,12,82.5,1853-12-01 00:00:00,US,Chicago,Wheat,chicago_wheat,82.5,1850
1854,1,104.5,1854-01-01 00:00:00,US,Chicago,Wheat,chicago_wheat,104.5,1850
1854,2,107.5,1854-02-01 00:00:00,US,Chicago,Wheat,chicago_wheat,107.5,1850
1854,3,105.0,1854-03-01 00:00:00,US,Chicago,Wheat,chicago_wheat,105.0,1850
1854,4,112.5,1854-04-01 00:00:00,US,Chicago,Wheat,chicago_wheat,112.5,1850
1854,5,127.5,1854-05-01 00:00:00,US,Chicago,Wheat,chicago_wheat,127.5,1850
1854,6,112.5,1854-06-01 00:00:00,US,Chicago,Wheat,chicago_wheat,112.5,1850
1854,7,97.5,1854-07-01 00:00:00,US,Chicago,Wheat,chicago_wheat,97.5,1850
1854,8,102.5,1854-08-01 00:00:00,US,Chicago,Wheat,chicago_wheat,102.5,1850
1854,9,105.0,1854-09-01 00:00:00,US,Chicago,Wheat,chicago_wheat,105.0,1850
1854,10,105.0,1854-10-01 00:00:00,US,Chicago,Wheat,chicago_wheat,105.0,1850
1854,11,112.5,1854-11-01 00:00:00,US,Chicago,Wheat,chicago_wheat,112.5,1850
1854,12,105.0,1854-12-01 00:00:00,US,Chicago,Wheat,chicago_wheat,105.0,1850
1855,1,114.0,1855-01-01 00:00:00,US,Chicago,Wheat,chicago_wheat,114.0,1850
1855,2,115.5,1855-02-01 00:00:00,US,Chicago,Wheat,chicago_wheat,115.5,1850
1855,3,124.0,1855-03-01 00:00:00,US,Chicago,Wheat,chicago_wheat,124.0,1850
1855,4,140.0,1855-04-01 00:00:00,US,Chicago,Wheat,chicago_wheat,140.0,1850
1855,5,155.0,1855-05-01 00:00:00,US,Chicago,Wheat,chicago_wheat,155.0,1850
1855,6,160.0,1855-06-01 00:00:00,US,Chicago,Wheat,chicago_wheat,160.0,1850
1855,7,127.5,1855-07-01 00:00:00,US,Chicago,Wheat,chicago_wheat,127.5,1850
1855,8,105.0,1855-08-01 00:00:00,US,Chicago,Wheat,chicago_wheat,105.0,1850
1855,9,118.0,1855-09-01 00:00:00,US,Chicago,Wheat,chicago_wheat,118.0,1850
1855,10,137.0,1855-10-01 00:00:00,US,Chicago,Wheat,chicago_wheat,137.0,1850
1855,11,135.5,1855-11-01 00:00:00,US,Chicago,Wheat,chicago_wheat,135.5,1850
1855,12,130.0,1855-12-01 00:00:00,US,Chicago,Wheat,chicago_wheat,130.0,1850
1856,1,131.5,1856-01-01 00:00:00,US,Chicago,Wheat,chicago_wheat,131.5,1850
1856,2,115.0,1856-02-01 00:00:00,US,Chicago,Wheat,chicago_wheat,115.0,1850
1856,3,107.5,1856-03-01 00:00:00,US,Chicago,Wheat,chicago_wheat,107.5,1850
1856,4,116.0,1856-04-01 00:00:00,US,Chicago,Wheat,chicago_wheat,116.0,1850
1856,5,109.5,1856-05-01 00:00:00,US,Chicago,Wheat,chicago_wheat,109.5,1850
1856,6,103.0,1856-06-01 00:00:00,US,Chicago,Wheat,chicago_wheat,103.0,1850
1856,7,104.0,1856-07-01 00:00:00,US,Chicago,Wheat,chicago_wheat,104.0,1850
1856,8,104.0,1856-08-01 00:00:00,US,Chicago,Wheat,chicago_wheat,104.0,1850
1856,9,100.0,1856-09-01 00:00:00,US,Chicago,Wheat,chicago_wheat,100.0,1850
1856,10,90.0,1856-10-01 00:00:00,US,Chicago,Wheat,chicago_wheat,90.0,1850
1856,11,77.5,1856-11-01 00:00:00,US,Chicago,Wheat,chicago_wheat,77.5,1850
1856,12,81.0,1856-12-01 00:00:00,US,Chicago,Wheat,chicago_wheat,81.0,1850
1857,1,87.5,1857-01-01 00:00:00,US,Chicago,Wheat,chicago_wheat,87.5,1850
1857,2,90.5,1857-02-01 00:00:00,US,Chicago,Wheat,chicago_wheat,90.5,1850
1857,3,87.5,1857-03-01 00:00:00,US,Chicago,Wheat,chicago_wheat,87.5,1850
1857,4,95.0,1857-04-01 00:00:00,US,Chicago,Wheat,chicago_wheat,95.0,1850
1857,5,113.5,1857-05-01 00:00:00,US,Chicago,Wheat,chicago_wheat,113.5,1850
1857,6,123.5,1857-06-01 00:00:00,US,Chicago,Wheat,chicago_wheat,123.5,1850
1857,7,119.5,1857-07-01 00:00:00,US,Chicago,Wheat,chicago_wheat,119.5,1850
1857,8,103.0,1857-08-01 00:00:00,US,Chicago,Wheat,chicago_wheat,103.0,1850
1857,9,84.5,1857-09-01 00:00:00,US,Chicago,Wheat,chicago_wheat,84.5,1850
1857,10,72.5,1857-10-01 00:00:00,US,Chicago,Wheat,chicago_wheat,72.5,1850
1857,11,61.0,1857-11-01 00:00:00,US,Chicago,Wheat,chicago_wheat,61.0,1850
1857,12,54.5,1857-12-01 00:00:00,US,Chicago,Wheat,chicago_wheat,54.5,1850
1858,1,55.0,1858-01-01 00:00:00,US,Chicago,Wheat,chicago_wheat,55.0,1850
1858,2,55.0,1858-02-01 00:00:00,US,Chicago,Wheat,chicago_wheat,55.0,1850
1858,3,60.5,1858-03-01 00:00:00,US,Chicago,Wheat,chicago_wheat,60.5,1850
1858,4,61.0,1858-04-01 00:00:00,US,Chicago,Wheat,chicago_wheat,61.0,1850
1858,5,62.5,1858-05-01 00:00:00,US,Chicago,Wheat,chicago_wheat,62.5,1850
1858,6,67.0,1858-06-01 00:00:00,US,Chicago,Wheat,chicago_wheat,67.0,1850
1858,7,64.5,1858-07-01 00:00:00,US,Chicago,Wheat,chicago_wheat,64.5,1850
1858,8,87.0,1858-08-01 00:00:00,US,Chicago,Wheat,chicago_wheat,87.0,1850
1858,9,76.5,1858-09-01 00:00:00,US,Chicago,Wheat,chicago_wheat,76.5,1850
1858,10,63.5,1858-10-01 00:00:00,US,Chicago,Wheat,chicago_wheat,63.5,1850
1858,11,61.5,1858-11-01 00:00:00,US,Chicago,Wheat,chicago_wheat,61.5,1850
1858,12,65.0,1858-12-01 00:00:00,US,Chicago,Wheat,chicago_wheat,65.0,1850
1859,1,75.0,1859-01-01 00:00:00,US,Chicago,Wheat,chicago_wheat,75.0,1850
1859,2,92.0,1859-02-01 00:00:00,US,Chicago,Wheat,chicago_wheat,92.0,1850
1859,3,104.0,1859-03-01 00:00:00,US,Chicago,Wheat,chicago_wheat,104.0,1850
1859,4,93.5,1859-04-01 00:00:00,US,Chicago,Wheat,chicago_wheat,93.5,1850
1859,5,116.5,1859-05-01 00:00:00,US,Chicago,Wheat,chicago_wheat,116.5,1850
1859,6,103.0,1859-06-01 00:00:00,US,Chicago,Wheat,chicago_wheat,103.0,1850
1859,7,71.5,1859-07-01 00:00:00,US,Chicago,Wheat,chicago_wheat,71.5,1850
1859,8,64.5,1859-08-01 00:00:00,US,Chicago,Wheat,chicago_wheat,64.5,1850
1859,9,73.0,1859-09-01 00:00:00,US,Chicago,Wheat,chicago_wheat,73.0,1850
1859,10,83.0,1859-10-01 00:00:00,US,Chicago,Wheat,chicago_wheat,83.0,1850
1859,11,86.5,1859-11-01 00:00:00,US,Chicago,Wheat,chicago_wheat,86.5,1850
1859,12,92.0,1859-12-01 00:00:00,US,Chicago,Wheat,chicago_wheat,92.0,1850
1860,1,97.0,1860-01-01 00:00:00,US,Chicago,Wheat,chicago_wheat,97.0,1860
1860,2,98.5,1860-02-01 00:00:00,US,Chicago,Wheat,chicago_wheat,98.5,1860
1860,3,101.5,1860-03-01 00:00:00,US,Chicago,Wheat,chicago_wheat,101.5,1860
1860,4,100.0,1860-04-01 00:00:00,US,Chicago,Wheat,chicago_wheat,100.0,1860
1860,5,109.5,1860-05-01 00:00:00,US,Chicago,Wheat,chicago_wheat,109.5,1860
1860,6,106.0,1860-06-01 00:00:00,US,Chicago,Wheat,chicago_wheat,106.0,1860
1860,7,98.0,1860-07-01 00:00:00,US,Chicago,Wheat,chicago_wheat,98.0,1860
1860,8,82.0,1860-08-01 00:00:00,US,Chicago,Wheat,chicago_wheat,82.0,1860
1860,9,87.0,1860-09-01 00:00:00,US,Chicago,Wheat,chicago_wheat,87.0,1860
1860,10,83.5,1860-10-01 00:00:00,US,Chicago,Wheat,chicago_wheat,83.5,1860
1860,11,77.0,1860-11-01 00:00:00,US,Chicago,Wheat,chicago_wheat,77.0,1860
1860,12,74.5,1860-12-01 00:00:00,US,Chicago,Wheat,chicago_wheat,74.5,1860
1861,1,75.0,1861-01-01 00:00:00,US,Chicago,Wheat,chicago_wheat,75.0,1860
1861,2,74.5,1861-02-01 00:00:00,US,Chicago,Wheat,chicago_wheat,74.5,1860
1861,3,77.5,1861-03-01 00:00:00,US,Chicago,Wheat,chicago_wheat,77.5,1860
1861,4,86.0,1861-04-01 00:00:00,US,Chicago,Wheat,chicago_wheat,86.0,1860
1861,5,97.5,1861-05-01 00:00:00,US,Chicago,Wheat,chicago_wheat,97.5,1860
1861,6,61.5,1861-06-01 00:00:00,US,Chicago,Wheat,chicago_wheat,61.5,1860
1861,7,60.0,1861-07-01 00:00:00,US,Chicago,Wheat,chicago_wheat,60.0,1860
1861,8,65.0,1861-08-01 00:00:00,US,Chicago,Wheat,chicago_wheat,65.0,1860
1861,9,67.0,1861-09-01 00:00:00,US,Chicago,Wheat,chicago_wheat,67.0,1860
1861,10,71.0,1861-10-01 00:00:00,US,Chicago,Wheat,chicago_wheat,71.0,1860
1861,11,64.0,1861-11-01 00:00:00,US,Chicago,Wheat,chicago_wheat,64.0,1860
1861,12,63.5,1861-12-01 00:00:00,US,Chicago,Wheat,chicago_wheat,63.5,1860
1862,1,66.5,1862-01-01 00:00:00,US,Chicago,Wheat,chicago_wheat,66.5,1860
1862,2,71.0,1862-02-01 00:00:00,US,Chicago,Wheat,chicago_wheat,71.0,1860
1862,3,72.0,1862-03-01 00:00:00,US,Chicago,Wheat,chicago_wheat,72.0,1860
1862,4,72.0,1862-04-01 00:00:00,US,Chicago,Wheat,chicago_wheat,72.0,1860
1862,5,71.0,1862-05-01 00:00:00,US,Chicago,Wheat,chicago_wheat,71.0,1860
1862,6,72.0,1862-06-01 00:00:00,US,Chicago,Wheat,chicago_wheat,72.0,1860
1862,7,80.5,1862-07-01 00:00:00,US,Chicago,Wheat,chicago_wheat,80.5,1860
1862,8,86.0,1862-08-01 00:00:00,US,Chicago,Wheat,chicago_wheat,86.0,1860
1862,9,80.5,1862-09-01 00:00:00,US,Chicago,Wheat,chicago_wheat,80.5,1860
1862,10,86.0,1862-10-01 00:00:00,US,Chicago,Wheat,chicago_wheat,86.0,1860
1862,11,77.0,1862-11-01 00:00:00,US,Chicago,Wheat,chicago_wheat,77.0,1860
1862,12,83.5,1862-12-01 00:00:00,US,Chicago,Wheat,chicago_wheat,83.5,1860
1863,1,95.0,1863-01-01 00:00:00,US,Chicago,Wheat,chicago_wheat,95.0,1860
1863,2,107.5,1863-02-01 00:00:00,US,Chicago,Wheat,chicago_wheat,107.5,1860
1863,3,107.5,1863-03-01 00:00:00,US,Chicago,Wheat,chicago_wheat,107.5,1860
1863,4,102.5,1863-04-01 00:00:00,US,Chicago,Wheat,chicago_wheat,102.5,1860
1863,5,96.0,1863-05-01 00:00:00,US,Chicago,Wheat,chicago_wheat,96.0,1860
1863,6,94.0,1863-06-01 00:00:00,US,Chicago,Wheat,chicago_wheat,94.0,1860
1863,7,92.0,1863-07-01 00:00:00,US,Chicago,Wheat,chicago_wheat,92.0,1860
1863,8,85.0,1863-08-01 00:00:00,US,Chicago,Wheat,chicago_wheat,85.0,1860
1863,9,97.0,1863-09-01 00:00:00,US,Chicago,Wheat,chicago_wheat,97.0,1860
1863,10,107.5,1863-10-01 00:00:00,US,Chicago,Wheat,chicago_wheat,107.5,1860
1863,11,104.5,1863-11-01 00:00:00,US,Chicago,Wheat,chicago_wheat,104.5,1860
1863,12,108.5,1863-12-01 00:00:00,US,Chicago,Wheat,chicago_wheat,108.5,1860
1864,1,117.0,1864-01-01 00:00:00,US,Chicago,Wheat,chicago_wheat,117.0,1860
1864,2,117.0,1864-02-01 00:00:00,US,Chicago,Wheat,chicago_wheat,117.0,1860
1864,3,114.0,1864-03-01 00:00:00,US,Chicago,Wheat,chicago_wheat,114.0,1860
1864,4,123.0,1864-04-01 00:00:00,US,Chicago,Wheat,chicago_wheat,123.0,1860
1864,5,123.0,1864-05-01 00:00:00,US,Chicago,Wheat,chicago_wheat,123.0,1860
1864,6,139.5,1864-06-01 00:00:00,US,Chicago,Wheat,chicago_wheat,139.5,1860
1864,7,198.0,1864-07-01 00:00:00,US,Chicago,Wheat,chicago_wheat,198.0,1860
1864,8,204.0,1864-08-01 00:00:00,US,Chicago,Wheat,chicago_wheat,204.0,1860
1864,9,187.5,1864-09-01 00:00:00,US,Chicago,Wheat,chicago_wheat,187.5,1860
1864,10,162.0,1864-10-01 00:00:00,US,Chicago,Wheat,chicago_wheat,162.0,1860
1864,11,185.0,1864-11-01 00:00:00,US,Chicago,Wheat,chicago_wheat,185.0,1860
1864,12,172.0,1864-12-01 00:00:00,US,Chicago,Wheat,chicago_wheat,172.0,1860
1865,1,159.0,1865-01-01 00:00:00,US,Chicago,Wheat,chicago_wheat,159.0,1860
1865,2,140.0,1865-02-01 00:00:00,US,Chicago,Wheat,chicago_wheat,140.0,1860
