geo.name,indicator.name,geo,indicator,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
"Congo, Dem. Rep.",Child mortality (under age five),cod,u5mr,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.65,422.63,422.6,422.54,422.43,422.26,422.03,421.73,421.37,420.94,420.44,419.88,419.25,418.56,417.8,416.97,416.09,415.16,414.2,413.22,412.23,411.24,410.25,409.26,408.26,407.27,406.28,405.29,404.3,403.31,402.31,401.32,400.33,399.34,398.35,397.36,396.36,395.37,394.566,393.762,392.957,392.14,391.333,390.525,389.715,388.905,388.094,387.272,378.197,370.42,361.659,353.031,344.526,337.282,329.054,320.948,313.007,306.198,304.172,300.242,296.555,293.11,289.908,286.942,284.196,281.649,279.26,276.983,274.758,272.521,270.204,267.758,265.102,262.168,258.98,255.599,252.1,248.4,244.7,241.2,237.4,233.5,229.6,225.5,221.5,217.4,213.6,210.2,206.7,203.3,200.2,197.5,194.8,192.3,190.2,188.1,185.8,183.6,181.6,179.7,177.9,176.2,174.4,172.3,186.674,185.217,182.414,159.8,155.5,151.1,146.7,142.1,137.4,132.8,128.3,123.8,119.6,115.6,111.7,108.1,104.4,101,97.6,94.3,92.462,89.977,87.526,85.099,82.695,80.33,78.013,75.743,73.521,71.345,69.215,67.13,65.093,63.107,61.173,59.296,57.477,55.718,54.02,52.381,50.801,49.277,47.807,46.39,45.023,43.704,42.435,41.216,40.049,38.94,37.89,36.899,35.963,35.077,34.234,33.427,32.651,31.899,31.175,30.476,29.81,29.177,28.575,28.004,27.463,26.948,26.455,25.98,25.518,25.065,24.62,24.182,23.75,23.326,22.911,22.51,22.125,21.755,21.402,21.064,20.742,20.43,20.127,19.828,19.533,19.237,18.943,18.647,18.353,18.062,17.778,17.502,17.235,16.976,16.726,16.483,16.243,16.009,15.778,15.55,15.325,15.103,14.883,14.883
"Congo, Rep.",Child mortality (under age five),cog,u5mr,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.51,408.5,408.47,408.41,408.3,408.14,407.92,407.63,407.28,406.86,406.38,405.84,405.23,404.56,403.83,403.03,402.18,401.28,400.35,399.41,398.45,397.49,396.53,395.57,394.61,393.65,392.7,391.74,390.78,389.82,388.86,387.9,386.94,385.99,385.03,384.07,383.11,382.15,378.578,375.019,371.483,367.95,364.43,360.924,357.431,353.95,350.483,347.039,343.598,340.171,336.756,333.355,329.967,308.678,288.402,269.088,254.035,239.81,236.476,229.845,223.284,216.795,210.38,204.048,197.812,191.7,187.5,183.4,179.4,175.4,171.3,167,162.5,158.1,153.7,149.1,144.9,140.8,136.7,133.1,129.8,126.5,123.5,120.8,117.8,114.9,111.9,109,106.2,103.3,100.4,97.5,94.8,92.6,90.9,90.1,90,90.8,92.4,94.6,97.6,101.1,104.9,108.9,132.895,134.086,134.535,117.3,114.8,110.1,103.9,97,89.8,82.9,76.8,71.6,67.3,63.9,61.3,59.2,57.7,56.5,55.4,54.1,51.34,49.726,48.299,47.004,45.803,44.682,43.622,42.591,41.568,40.545,39.534,38.545,37.576,36.623,35.688,34.775,33.891,33.04,32.232,31.476,30.776,30.132,29.545,29.009,28.522,28.07,27.646,27.237,26.837,26.44,26.042,25.643,25.241,24.833,24.423,24.013,23.609,23.208,22.816,22.43,22.049,21.675,21.308,20.947,20.593,20.248,19.912,19.585,19.272,18.975,18.695,18.433,18.189,17.961,17.746,17.544,17.349,17.16,16.975,16.792,16.612,16.434,16.257,16.081,15.906,15.732,15.559,15.388,15.219,15.052,14.885,14.721,14.557,14.396,14.237,14.077,13.919,13.764,13.608,13.454,13.301,13.149,12.998,12.998
Cook Is,Child mortality (under age five),cok,u5mr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,181.3,171.5,162,153.3,144.4,135.8,127.2,118.9,111,103.2,95.8,88.7,82.1,75.9,70.1,64.8,59.8,55.2,51.1,47.5,44.4,41.8,39.6,37.9,36.4,35.1,33.9,32.8,31.7,30.8,29.9,29,28.1,27.3,26.6,25.9,25.3,24.8,24.4,24.1,23.8,23.3,22.7,21.9,20.9,19.8,18.7,17.7,16.8,16,15.2,14.4,13.7,12.9,12.2,11.5,10.9,10.3,9.8,9.4,9,8.7,8.3,8.1,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,Child mortality (under age five),cri,u5mr,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,435.79,430.46,425.25,420.04,414.88,408.47,403.34,398.24,393.1,387.98,382.83,382.5,380.89,380.44,378.72,378.15,377.53,375.63,374.89,372.92,372.09,371.23,370.35,369.46,368.57,367.68,366.8,365.91,365.02,364.13,363.24,354.33,345.57,336.95,328.47,319.08,310.9,302.84,294.92,287.14,279.47,273.072,267.712,261.516,255.381,249.378,244.338,238.512,232.736,227.964,222.372,213.521,204.873,195.621,187.399,179.377,171.535,163.861,155.673,148.41,141.322,139.527,135.936,132.341,128.741,125.138,121.532,117.925,114.319,110.72,107.133,103.563,100.013,96.485,92.976,89.5,85.2,82,80.1,79.1,76.9,71.6,64.6,57.9,52.2,46.4,40,33.9,29,25.7,23.7,22.9,22.8,23.1,23.2,22.8,21.7,20.1,18.6,17.6,16.8,16.2,15.7,15.3,14.9,14.7,14.8,14.8,14.5,13.8,12.9,12.2,11.7,11.2,10.8,10.5,10.3,10.4,10.4,10.3,10.2,10.1,10,9.8,9.4,9.1,8.8,8.864,8.714,8.542,8.349,8.139,7.921,7.705,7.492,7.288,7.09,6.898,6.709,6.524,6.347,6.178,6.019,5.869,5.729,5.598,5.475,5.358,5.245,5.135,5.027,4.923,4.823,4.726,4.634,4.544,4.458,4.375,4.295,4.216,4.14,4.065,3.992,3.922,3.852,3.783,3.717,3.653,3.59,3.53,3.471,3.414,3.357,3.302,3.247,3.194,3.141,3.087,3.036,2.985,2.936,2.887,2.841,2.795,2.751,2.709,2.667,2.626,2.585,2.546,2.506,2.467,2.429,2.39,2.353,2.316,2.28,2.244,2.209,2.175,2.139,2.105,2.071,2.037,2.003,1.97,1.937,1.904,1.872,1.84,1.84
Cote d'Ivoire,Child mortality (under age five),civ,u5mr,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.84,427.81,427.74,427.63,427.47,427.23,426.93,426.56,426.13,425.62,425.06,424.42,423.72,422.95,422.11,421.22,420.28,419.31,418.32,417.31,416.31,415.31,414.3,413.3,412.29,411.29,410.29,409.28,408.28,407.27,406.27,405.27,404.26,403.26,402.25,401.25,400.25,400.434,400.622,400.794,400.97,401.14,401.294,401.452,401.594,401.74,401.88,402.004,402.132,402.243,402.359,402.469,402.563,399.908,397.267,394.64,392.028,388.838,382.207,375.071,367.433,359.295,350.673,341.6,332.9,324.7,316.4,308.3,300.4,292.7,285,277.8,270.7,263.6,256.6,249.7,242.7,235.4,227.4,218.9,209.9,200.7,191.8,183.6,176.5,170.5,165.5,161.5,158.4,155.9,153.9,152.5,151.5,151,150.8,150.8,150.9,151.1,151.2,151.4,151.5,151.4,151.2,150.5,149.3,147.7,145.7,141.5,137.6,134.5,131.1,127.7,124.4,120.1,116.1,112.8,110.5,107.7,104.9,101.7,98.3,95.1,91.8,87.517,84.236,81.322,78.768,76.527,74.512,72.639,70.866,69.162,67.518,65.946,64.455,63.032,61.674,60.38,59.148,57.979,56.864,55.797,54.772,53.783,52.826,51.897,50.992,50.112,49.257,48.43,47.628,46.851,46.097,45.365,44.652,43.957,43.278,42.61,41.953,41.309,40.675,40.053,39.448,38.863,38.295,37.742,37.197,36.653,36.105,35.546,34.978,34.402,33.824,33.25,32.685,32.133,31.595,31.07,30.556,30.05,29.552,29.06,28.575,28.097,27.626,27.164,26.711,26.269,25.84,25.422,25.018,24.626,24.246,23.875,23.511,23.153,22.8,22.451,22.104,21.759,21.417,21.077,20.738,20.4,20.064,19.729,19.729
Croatia,Child mortality (under age five),hrv,u5mr,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.84,366.83,366.8,366.74,366.65,366.51,366.3,366.05,365.73,365.36,364.93,364.44,363.89,363.29,362.63,361.91,361.15,360.35,359.51,358.66,357.8,356.94,356.08,355.22,354.36,353.5,352.64,351.78,341.93,332.29,322.81,313.49,304.34,295.37,286.57,277.91,269.41,260.1,251.982,244.029,236.211,228.518,220.94,213.497,206.209,199.038,191.992,185.061,178.207,171.528,164.966,158.51,152.17,145.937,139.851,133.881,128.018,121.588,118.524,112.459,106.521,100.709,95.024,89.47,84.053,78.788,73.694,68.798,64.125,59.708,55.569,51.721,48.165,44.885,41.86,39.073,36.525,34.243,32.267,30.608,29.253,28.161,27.284,26.563,25.929,25.316,24.67,23.941,23.1,21.8,20.6,19.4,18.2,17,15.8,14.7,13.7,12.8,12.1,11.4,10.9,10.4,10,9.6,9.3,8.9,8.6,8.3,8,7.7,7.4,7,6.7,6.4,6.2,5.9,5.7,5.5,5.3,5.1,5,4.9,4.8,4.7,4.52,4.416,4.325,4.242,4.164,4.089,4.017,3.949,3.88,3.81,3.742,3.675,3.61,3.546,3.484,3.423,3.363,3.305,3.249,3.194,3.142,3.092,3.042,2.995,2.949,2.904,2.859,2.815,2.771,2.729,2.689,2.651,2.615,2.582,2.55,2.52,2.49,2.46,2.431,2.402,2.373,2.345,2.318,2.291,2.264,2.239,2.213,2.188,2.164,2.14,2.118,2.095,2.073,2.05,2.029,2.007,1.984,1.963,1.941,1.92,1.899,1.877,1.857,1.837,1.817,1.797,1.778,1.76,1.74,1.722,1.703,1.685,1.669,1.653,1.64,1.629,1.622,1.617,1.616,1.62,1.627,1.638,1.652,1.652
Cuba,Child mortality (under age five),cub,u5mr,414.89,413.61,411.06,409.79,408.51,405.96,404.69,402.19,400.95,398.45,397.2,394.71,393.46,390.99,389.77,388.54,387.32,386.1,384.88,383.66,379.99,375.2,371.61,366.84,363.32,365.67,366.84,369.21,370.41,372.81,371.61,369.21,368.01,365.67,364.49,363.32,363.32,362.15,362.15,360.97,362.15,363.32,365.67,366.84,368.01,368.01,366.84,366.84,365.67,365.67,364.49,364.49,363.32,363.32,362.15,362.15,362.15,360.97,360.97,360.97,365.67,369.21,374,377.6,382.44,394.71,408.51,421.34,435.79,449.24,447.88,447.88,446.51,446.51,445.15,429.16,413.61,399.7,384.88,370.41,358.63,345.92,334.6,322.4,311.52,306.18,299.8,294.56,288.3,283.16,327.93,375.2,427.86,484.25,548.43,561.5,574.88,588.53,603.67,621.05,402.57,399.73,396.84,393.89,390.88,386.64,383.58,380.46,377.3,374.1,370.91,367.71,364.49,360.11,356.94,353.8,350.67,347.56,344.45,340.27,337.23,333.1,330.09,309.515,290.222,272.132,255.17,239.265,224.351,210.367,197.254,184.959,173.43,209.1,149.27,199.73,160.37,125.89,118.9,114.512,110.286,106.215,102.295,98.52,78.12,95.24,52.53,53.96,49.67,48.26,44.11,49.67,48.26,48.26,41.39,45.49,42.74,46.87,47.575,48.29,49.015,49.752,50.5,47,45.9,44.9,44.1,43.9,44.7,45.4,43.7,39.5,35.2,32.5,31,29.3,27,24.5,22.5,21,20.1,19.7,19.6,19.6,19.2,18.5,17.4,16.2,15.2,14.3,13.3,12.3,11.5,11.2,11.1,10.8,10.1,9.4,8.9,8.6,8.3,8.1,7.8,7.5,7.2,6.8,6.6,6.4,6.3,6.2,6.1,6,5.8,5.7,5.7,5.6,5.5,5.297,5.149,5.012,4.884,4.766,4.653,4.54,4.429,4.318,4.207,4.097,3.99,3.887,3.786,3.689,3.596,3.506,3.42,3.339,3.262,3.188,3.118,3.052,2.989,2.929,2.872,2.818,2.765,2.714,2.664,2.614,2.565,2.515,2.465,2.417,2.369,2.322,2.276,2.232,2.19,2.148,2.105,2.065,2.023,1.983,1.942,1.902,1.863,1.824,1.786,1.748,1.711,1.675,1.64,1.605,1.572,1.538,1.505,1.473,1.442,1.411,1.382,1.352,1.325,1.298,1.273,1.248,1.224,1.202,1.18,1.16,1.139,1.119,1.099,1.079,1.06,1.041,1.02,1,0.979,0.959,0.938,0.917,0.917
Cyprus,Child mortality (under age five),cyp,u5mr,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.12,339.11,339.08,331.17,324.44,316.67,310,302.32,295.75,288.16,281.68,274.22,267.79,265.38,261.95,259.47,255.99,253.5,250.05,247.55,244.1,241.65,238.27,236.77,235.27,233.77,232.28,230.8,229.33,227.87,226.41,224.96,223.51,222.96,222.4,221.85,221.3,220.74,220.782,220.821,220.847,220.88,220.901,220.928,220.952,213.956,207.052,199.412,192.747,186.128,178.799,165.286,151.431,138.086,125.914,113.5,101.577,90.815,88.721,84.611,80.657,76.859,73.216,69.729,66.395,63.215,60.185,57.302,54.559,51.951,49.469,47.104,44.85,42.703,40.66,38.715,36.862,35.095,33.41,31.804,30.275,28.817,27.427,26.101,24.84,23.642,22.5,20.8,19.2,17.6,16.1,14.7,13.5,12.5,11.9,11.5,11.3,11.1,10.8,10.5,10,9.6,9,8.5,8,7.5,7.1,6.7,6.3,5.9,5.6,5.2,4.9,4.6,4.3,4,3.8,3.6,3.4,3.2,3,2.9,2.7,2.6,2.527,2.446,2.374,2.312,2.258,2.21,2.165,2.121,2.077,2.035,1.993,1.952,1.913,1.875,1.839,1.804,1.771,1.74,1.71,1.682,1.655,1.628,1.602,1.576,1.551,1.526,1.502,1.478,1.455,1.433,1.411,1.39,1.37,1.349,1.33,1.31,1.29,1.27,1.251,1.232,1.213,1.195,1.177,1.16,1.143,1.127,1.111,1.096,1.081,1.066,1.05,1.035,1.021,1.006,0.991,0.978,0.965,0.953,0.941,0.93,0.919,0.908,0.898,0.887,0.877,0.867,0.856,0.847,0.837,0.827,0.818,0.808,0.799,0.789,0.78,0.771,0.762,0.753,0.744,0.736,0.727,0.72,0.712,0.712
Czech Republic,Child mortality (under age five),cze,u5mr,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.99,379.98,369.17,358.53,349.19,338.81,328.56,318.44,313.83,309.2,304.58,299.94,295.31,290.67,286.01,281.38,276.74,272.13,265.56,260.05,253.62,247.31,241.99,235.84,230.67,224.67,218.75,213.78,208.03,202.34,197.6,192.05,187.4,182,176.67,172.24,167.06,161.98,158.47,155.04,151.63,148.26,144.93,141.62,137.66,134.44,130.58,127.45,122.885,118.484,114.241,110.149,106.204,102.4,98.733,95.197,91.787,88.5,79.22,61.81,49.74,42.62,39.24,36.14,35.35,33.16,29.61,28.4,27.81,30.08,29.25,27.57,31.86,29.73,29.55,29.16,30.5,28.2,28.41,27.06,27.56,26.7,25.75,25.26,24.79,22.84,21.08,21.6,15.2,15.1,15,14.8,14.5,14,13.5,13,12.5,12.1,11.6,11,10.3,9.4,8.5,7.7,7,6.3,5.8,5.5,5.2,5,4.8,4.6,4.4,4.1,3.9,3.7,3.5,3.4,3.2,3.2,3.1,3.1,3.2,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czechoslovakia,Child mortality (under age five),cheslo,u5mr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Child mortality (under age five),dnk,u5mr,379.99,378.8,377.6,376.4,375.2,374,372.81,371.61,370.41,369.21,368.01,366.84,366.84,365.67,364.49,363.32,362.15,360.97,359.8,358.63,357.45,356.28,355.13,353.98,352.82,351.67,346.043,340.505,335.056,329.695,324.419,319.228,314.12,309.093,304.147,299.28,279.63,252.09,240.26,267.11,270.65,254.61,254.2,232.25,235.97,249.23,285.26,280.66,280.29,276.91,242.84,239.92,261.76,278.6,236.53,192.74,199.8,241.04,271.8,225.69,217.52,188.2,195.03,195.52,260.1,266.75,239.53,221.75,220.88,208.08,212.57,199.61,190.6,188.75,205.33,226.42,211.66,198.03,202.92,207.31,231.4,187.03,221.73,189.67,195.01,176.18,187.63,196.35,211.9,203.9,205.73,206.71,206.98,221.16,196.22,183.77,166.21,168.46,164.77,192.95,163.4,170.55,148.84,146.67,139.49,150.69,135.53,136.16,152.48,123.63,122.15,129.61,115.97,113.94,117.68,112.23,128.83,122.68,99.09,116.5,119.91,91.28,98.18,101.4,103.1,94.53,98.62,98.83,97.09,93.39,93.81,94.5,84.97,78.21,75.61,87.19,80.9,77.48,70.46,66.8,58.85,64.58,57.44,54.22,58.91,58.19,54.05,45.8,40.46,38.73,34,33.4,32.6,31.7,30.5,29.3,28.1,27,26.2,25.5,25,24.5,23.8,23,22.1,21.1,20.1,19,18.1,17.4,16.6,15.8,14.9,13.9,13.1,12.3,11.6,11.1,10.6,10.2,10,9.7,9.6,9.5,9.6,9.6,9.7,9.7,9.6,9.4,9,8.4,7.9,7.4,6.9,6.5,6.2,6,5.8,5.6,5.5,5.4,5.3,5.2,5,4.8,4.6,4.5,4.3,4.2,4.1,4.1,4.1,4.1,4.2,4.3,4.4,4.004,3.859,3.721,3.592,3.473,3.36,3.251,3.147,3.046,2.95,2.858,2.771,2.687,2.607,2.529,2.457,2.386,2.318,2.253,2.19,2.132,2.075,2.023,1.973,1.925,1.88,1.837,1.796,1.757,1.719,1.683,1.648,1.613,1.58,1.55,1.519,1.489,1.461,1.434,1.408,1.381,1.355,1.33,1.305,1.28,1.257,1.233,1.212,1.19,1.17,1.149,1.13,1.111,1.091,1.072,1.054,1.034,1.016,0.999,0.981,0.964,0.947,0.931,0.914,0.898,0.883,0.867,0.852,0.839,0.824,0.81,0.797,0.783,0.769,0.756,0.742,0.729,0.717,0.704,0.692,0.679,0.668,0.657,0.657
Djibouti,Child mortality (under age five),dji,u5mr,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.14,445.11,445.04,444.92,444.75,444.5,444.19,443.81,443.35,442.83,442.24,441.58,440.85,440.05,439.18,438.25,437.27,436.26,435.23,434.18,433.14,432.09,431.05,430.01,428.96,427.92,426.87,425.83,424.78,423.74,422.69,421.65,420.6,419.56,418.52,417.47,416.43,415.775,415.127,414.468,413.817,413.154,412.499,411.831,411.172,410.501,409.838,409.173,408.496,407.826,407.145,406.472,380.519,355.817,332.207,309.621,287.961,286.261,282.789,279.167,275.395,271.477,267.426,263.254,258.989,254.678,250.373,246.118,241.941,237.829,233.718,229.414,224.669,219.362,213.493,207.173,200.681,194.383,188.606,183.566,179.321,175.774,172.7,167.9,163.1,158.6,154.4,150.1,145.7,141.6,137.6,133.5,129.8,126.2,123,120.1,117.6,115.4,113.4,111.7,110.1,108.7,107.2,105.7,104.1,102.3,100.2,98,95.7,93.4,91,88.5,86.1,83.7,81.2,78.9,76.5,74.4,72.2,70.2,68.2,66.2,64.2,64.108,63.171,62.244,61.306,60.355,59.412,58.492,57.591,56.711,55.847,55.001,54.171,53.356,52.555,51.768,50.996,50.236,49.49,48.757,48.038,47.333,46.639,45.952,45.267,44.575,43.874,43.162,42.441,41.714,40.989,40.273,39.573,38.892,38.23,37.589,36.964,36.351,35.747,35.151,34.561,33.975,33.395,32.819,32.253,31.696,31.152,30.623,30.108,29.607,29.117,28.637,28.164,27.694,27.228,26.765,26.303,25.845,25.39,24.938,24.489,24.045,23.606,23.174,22.751,22.34,21.942,21.559,21.19,20.835,20.494,20.167,19.85,19.542,19.242,18.947,18.657,18.372,18.089,17.809,17.533,17.258,16.986,16.717,16.717
